review_profilename,user_encoded
SaCkErZ9,6233
Jenkster4,3835
tone77,17973
litheum94,13910
Yagman3000,7763
cbros,9661
seeswo,16747
Georgiabeer,2924
chocosushi,9842
tripelhops,18051
Schmit,6311
biglobo8971,8915
NWer,5151
Dope,2286
seans86,16731
chugalug06,9886
JCaweinstein,3654
bluejacket74,9059
felipe2toes,11377
Nugganooch,5301
MaltsOfGlory,4673
robbrandes,16317
dubinsky,10966
TheSarge,7154
thebeerisgood,17721
richkrull,16224
colts9016,10038
MTNboy,4606
shand,16811
haddon,11981
itsfreeasinbeer,12502
generalnotsew,11662
betsona,8813
whatthehull,18472
StoneTSR,6761
portia99,15883
goldbot,11787
Crabbicuss,1857
soju6,17124
charlatan,9754
Satchboogie,6286
FanofHefe,2647
brownbeer,9378
NorCalYeti,5272
mactrail,14059
CliffBrake,1775
ggroller,11704
JeffBob,3825
TCHopCraver,6882
RonfromJersey,6084
GreenCard,3050
Reagan1984,5901
djmichaelk,10698
billshmeinke,8946
Gobzilla,2977
jorg2619,13128
vince4953529,18303
mpensworth,14837
baconbourbon,8400
pjbear05,15791
KoG,4249
Hopswagger,3427
Samp01,6270
zeledonia,18787
kbutler1,13410
sulldaddy,17440
tbraun1,17595
KomodoDragon,4253
Flightoficarus,2724
morenone,14810
Offa,5342
biglite351,8913
tchenery,17605
brewdlyhooked13,9277
ZSimon,7794
abrand,7874
obywan59,15360
seanbhudson,16724
fropones,11543
BeachRez,695
DiabolikDUB,2197
HuskyinPDX,3461
atis,8313
TheBeerCarl,7043
eatabagofbooger,11051
wl0307,18549
sim0n17,16910
kaseydad,13381
4000qtrap,79
BigMcLargeHuge,1005
lou91,13977
froghop,11538
hoegaardenhero,12142
cggarcia,9722
grumpy,11921
Natural510,5177
Cobratrooper,1790
jjboesen,12895
Mark,4711
illidurit,12377
RuudJH,6139
ahking,7974
ExtraStout,2610
GENNER,2835
tjsdomer2,17912
donkeyrunner,10785
buschbeer,9489
BlackBearForge,1074
Clydesdale,1783
hopheadjuice,12196
jadpsu,12532
Spineypanda,6667
dpodratsky3,10841
Chambic,1640
realbama,16119
heissebier,12074
Kooz,4259
Shumista,6464
rvdoorn,16471
Brenden,1248
NeutroMan,5206
BarrelO,652
FreshmanPour77,2790
blackc5,9002
CervezaMesa,1625
Jwale73,4053
morebeergood,14808
TexIndy,7017
hustlesworth,12287
CHickman,1490
yuenglings,18738
civilizedpsycho,9908
ZorPrime,7825
kflorence,13515
tigg924,17858
kinger,13553
zdk9,18777
grayburn,11860
archerwrestler,8251
roddwolff,16350
Magpie14,4650
birdypowder,8967
KarlHungus,4122
far333,11328
McKnightOwl,4794
SeattleBeerBlog,6370
schroederm,16636
AccidentalKate,215
thekanna,17767
DesMoinesMike,2179
bigaizsosexy,8868
treehugger02010,18033
harpo111,12019
tconboy,17607
VicDip,7521
Only23,5390
WakeandBake,7594
MillySox,4918
MNJR,4593
Rayek,5885
Hoagie1973,3294
Devilsfan87,2192
Mistofminn,4944
OtherShoe2,5419
caskstrength,9624
gdfan47,11644
tmoneyba,17937
pwent,15978
nick76,15170
aerozeppl,7942
bacabuck,8398
CampusCrew,1544
BoxingFanatic,1211
akronzipfan,8020
mwa423,14989
RedChrome,5916
changeup45,9747
thekevlarkid,17768
Zadok,7800
Gmann,2965
GoodKnight1220,3004
mrfrancis,14868
mduncan,14393
Chiefy770,1691
Shibbykaiyai,6440
kilustration,13541
ForWhatAlesYou,2755
Crossmd,1901
jsdunlop,13219
perrymarcus,15671
bobinnola,9115
Stinkypuss,6755
cnally,9996
chilidog,9828
beerthulhu,8730
thechamp,17732
Padron4KM,5481
IBUnit63,3465
dasenebler,10391
Slynger,6571
yelterdow,18701
tardiffism,17558
mashedpotatoes,14207
soupyman10,17159
Bamabrew22,617
kevman527,13505
gnargnar,11757
rye726,16499
HopsAreOverrated,3415
dippy,10663
jwolfie70,13337
mltobin,14711
TrinkGermanBier,7349
mooseisloose,14796
PhiOmega,5596
eberkman,11057
auxiliary,8351
dsa7783,10943
PhillyCop,5606
stanleykoolbrick,17274
Lupe,4544
flatblack80,11440
BDIMike,531
NascarJDS,5166
KClarkin,4075
Brad007,1216
botham,9181
kajerm,13364
somethingfishy,17130
bushbeer75,9490
Rainintheface,5846
dmamiano,10721
biegaman,8846
riemenschneider,16243
pmcadamis,15827
dacrza1,10286
Atron67,471
Byeast,1460
KiltedCulinarian,4206
sleazo,17010
coalcracker,10004
Drew966,2342
stevete13,17341
Schwarzbart,6323
jaydanahy,12617
pumarocks,15962
dshockey,10947
MrHurmateeowish,5038
mmmbeer,14724
zuggy9,18829
joeldtaylor,13036
jmbranum,12962
BrianCavtanker,1328
alysmith4,8123
afinepilsner,7951
goschool,11821
teg8612,17636
kimcgolf,13544
AustinBeerLvr,487
andjusticeforale,8163
TechMyst,6982
31thadrty1,66
veech,18269
cdubb,9692
ghostmech007,11711
jettjon,12812
MusicmanSD,5108
robocrouch,16336
fido,11398
aquatonex,8243
Noobster,5270
jmdrpi,12964
shealoftus14,16834
drowninginhops,10916
mikeg67,14556
kylehay2004,13724
BEERME528,537
RBorsato,5805
Gruntlumber,3102
AChamberlain,149
supercolter,17457
rhoadsrage,16209
Ski39Off,6534
therickguy78,17794
palffyfan,15538
akajimmyd,8010
Sosh,6629
scaliasux,16601
bignick,8919
MrSeth,5052
squish059,17239
jabocu,12519
doctorjoeyboey,10752
oldirtycaffrey,15402
Hibernator,3276
Mebuzzard,4814
DarkerTheBetter,2090
tesguino,17661
Koolbreeze2,4258
Pepeton,5565
casualbeerman,9626
tgbljb,17682
Likeburning,4435
feloniousmonk,11379
AndreiX,374
jmz62565,12994
daliandragon,10304
danielharper,10334
faubs,11359
johnshuster,13091
DERTY1,1954
tobyandgina,17952
semihobo,16755
Bumpon10s,1430
ommegangpbr,15424
aquaphyre,8242
hotsidehot,12245
brewQ,9257
alankwak,8030
scooter231,16658
buxwheat,9497
claymanhb,9944
palliko,15539
PBRstreetgang,5445
riversider76,16263
chOAKbarrell,9729
BrewMaven,1273
Frozensoul327,2804
whynot44,18491
rousee,16394
GCBrewingCo,2829
paterlodie,15572
ski271,16965
Luigi,4532
MoeSizlak,4961
yeagerbm,18694
BigRedN,1012
euskera,11266
TheDeuce,7073
nrbw23,15307
HardTarget,3187
crookedhalo,10167
NEhophead,5131
BeerBob,742
cncbofh,9997
MuddyFeet,5081
walleye,18365
meathookjones,14402
DrJay,2319
moulefrite,14825
CCUBA,1474
mynie,15014
connecticutpoet,10049
waughbrew,18402
Boilermaker88,1160
beertaster13,8727
cptnjck101,10113
Trentonator,7339
chaduvel,9738
mschofield,14902
jsolack,13236
Zorro,7826
rlshep,16292
Foxman,2767
oggg,15378
ralphw56,16041
theozag,17785
DrewCapzz,2343
MoreThanWine,4992
biboergosum,8845
ferrari29,11385
SWMeyer4141,6232
mdfb79,14379
kingcrowing,13551
ZenAgnostic,7811
TastyTaste,6968
dual1246,10963
francisweizen,11506
Rootdog316,6088
counselor,10091
DrunkMcDermott,2373
Tballz420,6975
ADR,150
ThistleKing,7208
ImperialScott,3557
flaminghomer,11437
HCYJ,3140
kunzbrew,13701
SepticDeath,6387
guinness33,11940
putnam,15971
granger10,11847
bierman2000,8861
TheDM,7069
Mustard,5111
hotstuff,12246
FranklinPCombs,2778
Beastdog75,707
beerguy101,8653
clvand0,9983
au1sec,8331
86MonteSS,121
DESTRO,1955
OldFrothingSlosh,5354
WilliamPhilaPa,7695
Andreji,375
allboutbierge,8092
rastaman,16073
Shiloh,6442
budgood1,9448
AtLagerHeads,465
bditty187,8534
kindestcut,13547
thefratguy,17751
Bruiser81,1371
Pegasus,5555
Gusler,3126
Morris729,5000
Zraly,7829
elmocoso,11166
ipogios,12450
ElGuapo,2506
Dogbrick,2256
yen157,18703
BeerAngel,731
EagleTalon,2463
goindownsouth,11785
proc,15912
marc77,14150
fdoosey,11367
StevieW,6747
garymuchow,11617
psugrad98,15934
Wildman,7686
Monk11,4968
BobLuvBeer,1136
aracauna,8246
frank4sail,11507
IrishRedRock,3607
jackndan,12523
ManuelHerrera,4697
BeerFMAndy,765
IronCitySteve,3612
TheKingofWichita,7112
sitarist,16937
BeerCon5,753
krazyboi,13664
ianjsullivan,12322
mdunman,14394
PhillyStyle,5609
junjun,13293
JMad,3689
Spider889,6661
deadliest,10508
secondtooth,16741
Beerbluesbiology,849
rowingbrewer,16398
gorilla19,11817
theboozecruise,17726
lmdengis,13934
larryi86,13772
JayS2629,3792
Stunner97,6808
Rifugium,6006
barknee,8452
taigor,17537
hardy008,12012
beerprovedwright,8712
Derranged,2176
NODAK,5143
socon67,17116
divineaudio,10682
VietPong,7528
claybeer,9942
jrallen34,13188
aasher,7854
vladimerjr,18324
Mosstrooper,5002
jsprain1,13242
Blitzen15,1104
Milestone221,4914
bundy462,9466
kneeland,13613
Chizoad,1700
eb003,11053
steveh,17333
elvisnj,11173
bsp77,9420
TheBrewo,7057
frankld2,11512
hoppheadIPA,12211
Tang07,6957
javajeep1972,12605
KingSpank,4221
djura,10704
philphilphil,15735
WHROO,7566
Finite,2693
joecast,13020
IPA35,3488
RodneyFarva,6061
NatalBrewingCo,5172
EssexAleMan,2577
kojevergas,13629
rarbring,16069
flyingpig,11457
emiricius,11185
drpimento,10920
JAXSON,3635
ThaCreep,7024
BucBasil,1393
Thehuntmaster,7184
BeerSingh,825
fullsweep,11555
Brabander,1215
yael6666,18683
Paisan,5487
PartyBear,5513
EatsTacos,2470
MrAleman,5013
bark,8451
explosivebeer,11297
ATPete,183
Absumaster,212
gam3,11595
thierrynantes,17818
AlexLMS,312
seanyfo,16735
Bionic,1053
skutra,16984
67cuda,102
Bierman9,973
cypressbob,10260
mwrseeley,15004
TerryW,7012
diablo14,10629
ILJAY,3478
BSF,573
dbek,10454
adamette,7905
bieristgut,8859
david18,10419
MM3,4589
PapaEugene,5500
CrazyDavros,1875
patto1ro,15590
kmacphail,13601
foamer,11470
surfmeister,17480
blitheringidiot,9039
jALEson,12512
xylophonica,18676
tubacharlie,18091
EwaldEichstaett,2601
mralphabet,14847
ThatWineGuy,7028
BierFan,957
PhilfromPA,5599
midnite2sixman,14529
BeachBierLieben,692
Sunnanek,6825
tbeckett,17587
catrone,9630
smcreator,17056
1fastz28,35
schoolcb,16632
JamesS,3752
Generik420,2911
danielocean03,10335
BlackAngus,1073
RustyShackleford,6135
zerk,18792
Kasia,4126
908carson,127
thedrewski86,17744
Tode,7271
BrewIndy,1265
FtownThrowDown,2805
salvo,16534
Brettster,1252
brundo4,9394
Ricochet,6000
Jon,3976
Viking,7531
heliosphann,12075
leftmindedrighty,13825
shbobdb,16833
Sephiroth,6386
Shades,6405
ReluctantScooper,5949
beveritt,8818
jsanford,13210
donniecuffs,10789
smcolw,17055
Hojaminbag,3307
Ragingbull,5845
mnfinnkidd,14739
Mickelswit,4869
Graebner,3025
nadiezhda,15035
sinistrsam,16920
asabreed,8287
GusterFan,3127
bigfnjoe,8896
metter98,14457
Aiptasia,271
ChBass,1628
MSchae1017,4604
dragonWhale,10850
fattyre,11358
Bunnyhop,1434
Higravity,3285
Fenris244,2673
Brewski4Drewski,1312
G2Brew,2823
charlesbyrd,9755
smibroncos,17068
dionysianarbiter,10662
tigerpaws,17857
thesyko56,17806
Nutleybeer,5307
billzee,8955
iconoklaztor,12349
bruachan,9389
Scottsan,6339
goblue3509,11775
Squelch,6683
barleyman,8455
MisterDeeds,4938
kdog630,13428
mentor,14439
cokes,10022
Southernbrew,6639
slvrmon82,17041
Baileyuk,609
Silenus,6492
amatuerbeerguy,8127
GONZALOYANNA,2848
Suds,6817
jdnovato,12727
puboflyons,15952
gfreed,11695
dqrull,10846
ahalloin,7971
JISurfer,3672
Minkybut,4921
bigbelcher,8874
CHADMC3,1486
LumpyGuitar,4539
1759Girl,28
RiekerStarBrew,6003
barefootbrewer,8447
July2Nov,4033
kellyst,13458
BBM,521
beals,8552
BretSikkink,1251
stereosforgeeks,17323
BuckSpin,1396
IceAce,3515
meatbeagle,14401
AaronHomoya,196
ABeerandacigar,146
Taelec,6943
dgallina,10610
geexploitation,11657
scruffwhor,16699
Budlum,1412
rebel1771,16124
rtratzlaff,16428
taez555,17532
UncleFlip,7456
VoodooBrew,7552
lostbearbrew,13972
Realale,5902
Gagnonsux,2864
shapudding,16818
BeerBuilder,750
SilentSabre,6490
genaro,11659
mzwolinski,15022
UnionMade,7467
Happyhour,3185
champ103,9745
mrmanning,14879
cyrenaica,10262
crwills,10179
richdebs,16222
Zimbo,7818
plinythethirsty,15816
Sigmund,6485
StJamesGate,6692
ybnorml,18693
Jeffo,3830
JohnfromDublin,3959
WonderWoman,7728
arizcards,8264
BeerShark,823
stcules,17290
donnebaby,10788
dennis,10569
dmfrench,10729
Morey,4993
WoodBrew,7731
Shrews629,6459
Wisconsinality,7715
Nicadeamis,5219
cnjohn19,9999
ThaBobfather,7023
huguey,12269
beerhobo22,8662
RickS95,5994
TLove,6911
eporter66,11216
LordHammer,4500
nasty15108,15056
SolomonGrundy,6616
JoePat,3925
degerbah,10544
Wheelinb,7659
ArrogantDeadGuy,450
OldYoda,5362
Ambiorix,348
STEG,6226
properhops,15919
stewart124,17343
rapayn01,16067
Poppleton,5705
Brew33,1254
johncampbell,13061
buddhapeace,9445
ABOWMan,143
BillyBoysPie,1045
bigdeuce,8888
UA8,7421
giblet,11720
Mcburks,4802
sc13ntific,16598
biker30x,8936
Dotcubed,2295
Fillpott,2688
nms1987,15240
babaracas,8392
BuzzLitebier,1457
atsprings,8329
chinchill,9835
BeerBeatnik,738
farrago,11334
Onenote81,5386
injuredreserve,12427
Schwab,6321
johnmichaelsen,13072
Aaron420,194
bdupree,8541
Mississipping,4934
jpmclaug,13174
thegodfather2701,17755
Jdmpolk,3815
callisbeers,9551
snpub540,17105
TigerFan,7235
GossageBrewery,3016
redjameskidd,16136
CuriousMonk,1928
rkuhnel,16284
HoosBrews,3340
CBlack85,1471
VncentLIFE,7547
samtallica,16549
lehows,13830
GeoffRizzo,2919
ZAP,7790
Bighuge,1027
Winter,7708
Billolick,1041
cosmicevan,10086
Mypintishalffull,5115
gskitt,11927
Brianjames16,1336
brendan13,9245
bonbright7,9147
plaid75,15804
jeranbrews,12782
phreshbeer,15751
SkunkWorks,6549
iRoy,12309
steelerguy,17299
ryantaussig,16495
Parrotshake,5511
dgilks,10614
ADZA,153
lacqueredmouse,13737
laituegonflable,13745
AltBock,342
spicelab,17199
yapi,18691
tsauce2,18082
Ratman197,5877
dansmcd,10363
crusian,10175
trappistlover,18012
eric5bellies,11218
burnheartsMKE,9481
Macca,4622
wschmit,18600
JeffTibbetts,3828
orbitalr0x,15468
Figgy,2683
katan,13386
ndekke39,15097
betterbgood,8814
hero27,12094
aquaderek,8240
ManofWax,4693
d07c0m,10269
dauss,10400
grittybrews,11904
olympuszymurgus,15419
boogyman,9159
jdavin,12709
slicknuss,17019
cjbeatty130,9912
Norfawkers,5278
Crosling,1896
ardeano,8254
heygeebee,12098
Gorilla,3013
rustyhydrant217,16468
assurbanipaul,8303
SchmichaelJ,6309
stjaernstoft,17353
twiggamortis420,18129
Beeromaniac,875
emerge077,11180
SkeeterHawk,6533
Globetrotter,2962
JohnW,3955
soulgrowl,17151
EmperorBevis,2535
RonBeerBox,6080
jazzyjeff13,12637
Quej,5791
valgalder,18250
RedRocker5152,5922
gnoff,11761
BeerBeing,739
FirstMan,2703
ricke,16230
jspruit,13243
allengarvin,8094
JanM,3763
neenerzig,15111
drgonzo3705,10879
klewis,13592
Vierenner,7527
chiefydawg,9825
newyawker,15145
jeffmonarch,12763
callmeclemens,9552
unclejimbay,18203
Hollenbeck2,3313
Boto,1196
lefty,13826
mophie,14803
WJVII,7570
Vengeance526,7516
jimbomill,12864
BavariaYeti,676
BravoTwo,1241
JohnGSO,3944
scurvy311,16707
dansteino,10364
theclaudius,17736
Luk13,4533
Beersignal,884
Goldorak,2995
Tbone,6977
TurdFurgison,7398
gibby,11719
raninator84,16064
paco1029384756,15526
Gtreid,3105
cpetrone84,10101
MbpBugeye,4781
Pecorasc,5551
md655321,14370
nlmartin,15235
BeerVikingSailor,841
imaguitargod,12385
brstls4drmrs,9388
KAP1356,4063
SawDog505,6295
heysuz,12102
PittBeerGirl,5657
Beaver13,713
Osiris9588,5410
jamescain,12558
Durge,2416
DoubleSimcoe,2301
parris,15562
KansasBeerLover,4118
IdrinkGas,3530
Dreadnaught33,2339
BradLikesBrew,1220
scotvega18,16686
Preismj,5728
regspeir,16162
output01x,15506
beergod1,8647
Sideswipe,6476
gregshead,11893
Arknot,437
mjw1200,14685
b3shine,8390
superspak,17470
jsh420,13224
jwinship83,13332
Jesse13713,3863
CaptCleveland,1561
chaz01,9771
JamnesCameron,3762
TheHoppiest,7101
pdoran10,15640
ne0m00re,15102
Lerxst,4406
fear025,11370
SykDoc,6869
cbutova,9664
onthefarside,15450
kwjd,13717
mntlover,14745
DoctorDog,2248
billab914,8941
beerwolf77,8740
prototypic,15922
alkemy,8088
popery,15870
TheDoodles,7076
Viciousknishs,7524
sixerofelixir,16939
Trystero,7375
Torgo,7311
WwRGSwW,7747
steve8robin,17327
nickfl,15176
kbeals,13401
Nickls,5235
Martin2D,4722
GatorBeerNerd,2894
vrazionale,18338
wingman14,18526
RblWthACoz,5892
csmiley,10193
PorterLover83,5716
ATLbeerDog,182
Phatz,5591
Grundle20,3100
jpm30,13173
muddyriverduck,14945
budsboy,9449
prg1976,15909
tr4nc3d,18002
GJ40,2840
Popkas,5701
wspscott,18603
joeyspit,13053
spwalshesq,17229
prsguitarsr4me,15923
mrandypandy,14850
deereless,10542
backfat,8399
dsw4b,10955
Huhzubendah,3451
Intimidtor,3589
bhalter8,8838
jbphoto88,12663
mechamifune,14407
Shaw,6429
redneckchugger,16140
Scriba,6346
jbhuxley,12652
Vonerichs,7551
kbnooshay,13404
Hopsedge,3424
CosmoHopHead,1838
aubuc1,8332
stonequarrywest,17371
marvin213,14200
beerdrifter,8630
JasonA,3777
LauraAlberts,4364
Yesac,7772
HeyItsChili,3269
saintwarrick,16528
cvstrickland,10238
ToddT,7269
taylorhamrick,17577
BeTheBall,690
Ezekiel81923,2613
drunkmonk,10939
gameface23,11598
Cuttooth,1933
Doomcifer,2283
ABVerageJoe,145
JTSbeerislife,3713
cindyjeffsmith,9902
Hophead101,3391
sgoodship,16789
phattysbox,15705
tiger88,17853
Oxymoron,5433
tayner,17579
Phyl21ca,5627
ffejherb,11393
hurleymanvw,12282
kcillini77,13414
stumac,17415
WanderingFool,7608
Phenom,5594
Scoobydank,6329
ShrLSU,6456
ryrust5301,16505
swizzlenuts,17516
MmmIPA,4954
RustyDiamond,6134
shroompod,16877
trekbiker3000,18035
dsigmon,10948
BigBry,986
jjayjaye,12893
luvND,14025
fitzy84,11426
Todd,7268
brewdogmrb,9279
TheodorHerzl,7187
ncvbc,15095
todd1,17954
Gehrig,2908
thartman,17694
t0rin0,17523
Drewcifer,2354
dholway,10625
Kudashov,4283
aepb1,7940
bosco7,9173
srandycarter,17241
Tolann,7276
SPLITGRIN,6212
jaxon53,12611
churchillps,9892
